Number,Name,Country,Region,Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (Meters),Dominant Rock Type,Tectonic Setting
263220,Sumbing,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1730 CE,-7.384,110.07,3371,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263230,Ungaran,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,-7.18,110.33,2050,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
263231,Telomoyo,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,-7.37,110.4,1894,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263240,Merbabu,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1797 CE,-7.45,110.43,3145,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
263250,Merapi,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2014 CE,-7.542,110.442,2968,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263251,Muria,Indonesia,Indonesia,Stratovolcano,Eruption Dated,160 BCE,-6.62,110.88,1625,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
263260,Lawu,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1885 CE,-7.625,111.192,3265,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263270,Wilis,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,-7.808,111.758,2563,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263280,Kelut,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2014 CE,-7.93,112.308,1731,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263281,Kawi-Butak,Indonesia,Indonesia,Stratovolcano(es),Evidence Credible,Unknown,-7.92,112.45,2651,No Data,Subduction Zone / Continental Crust (>25 km)
263290,Arjuno-Welirang,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1952 CE,-7.725,112.58,3339,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263291,Penanggungan,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,-7.62,112.63,1653,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263292,Malang Plain,Indonesia,Indonesia,Maar(s),Evidence Credible,Unknown,-8.02,112.68,680,No Data,Subduction Zone / Continental Crust (>25 km)
263300,Semeru,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016 CE,-8.108,112.92,3676,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263310,Tengger Caldera,Indonesia,Indonesia,Stratovolcano(es),Eruption Observed,2016 CE,-7.942,112.95,2329,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
263320,Lamongan,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1898 CE,-7.979,113.342,1651,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
263321,Lurus,Indonesia,Indonesia,Complex,Evidence Uncertain,Unknown,-7.73,113.58,539,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263330,Iyang-Argapura,Indonesia,Indonesia,Complex,Evidence Credible,Unknown,-7.97,113.57,3088,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
